Dam (Difusividade no ar);Densidade;Pressão de Vapor;Tempo de Evaporacao;Pressão Total
5.5e-05;1060;3.136;7.30276e+10;4
6e-05;1060;3.136;6.69419e+10;4
6.5e-05;1060;3.136;6.17926e+10;4
7e-05;1060;3.136;5.73788e+10;4
7.5e-05;1060;3.136;5.35535e+10;4
8e-05;1060;3.136;5.02065e+10;4
8.5e-05;1060;3.136;4.72531e+10;4
9e-05;1060;3.136;4.4628e+10;4
9.5e-05;1060;3.136;4.22791e+10;4
0.0001;1060;3.136;4.01652e+10;4
5e-05;1080;3.136;8.1846e+10;4
5.5e-05;1080;3.136;7.44054e+10;4
6e-05;1080;3.136;6.8205e+10;4
6.5e-05;1080;3.136;6.29585e+10;4
7e-05;1080;3.136;5.84614e+10;4
7.5e-05;1080;3.136;5.4564e+10;4
8e-05;1080;3.136;5.11537e+10;4
8.5e-05;1080;3.136;4.81447e+10;4
9e-05;1080;3.136;4.547e+10;4
9.5e-05;1080;3.136;4.30768e+10;4
0.0001;1080;3.136;4.0923e+10;4
5e-05;1100;3.136;8.33617e+10;4
5.5e-05;1100;3.136;7.57833e+10;4
6e-05;1100;3.136;6.9468e+10;4
6.5e-05;1100;3.136;6.41243e+10;4
7e-05;1100;3.136;5.9544e+10;4
7.5e-05;1100;3.136;5.55744e+10;4
8e-05;1100;3.136;5.2101e+10;4
8.5e-05;1100;3.136;4.90363e+10;4
9e-05;1100;3.136;4.6312e+10;4
9.5e-05;1100;3.136;4.38746e+10;4
0.0001;1100;3.136;4.16808e+10;4
5e-05;1120;3.136;8.48773e+10;4
5.5e-05;1120;3.136;7.71612e+10;4
6e-05;1120;3.136;7.07311e+10;4
6.5e-05;1120;3.136;6.52902e+10;4
7e-05;1120;3.136;6.06267e+10;4
7.5e-05;1120;3.136;5.65849e+10;4
8e-05;1120;3.136;5.30483e+10;4
8.5e-05;1120;3.136;4.99278e+10;4
9e-05;1120;3.136;4.71541e+10;4
9.5e-05;1120;3.136;4.46723e+10;4
0.0001;1120;3.136;4.24387e+10;4
5e-05;1140;3.136;8.6393e+10;4
5.5e-05;1140;3.136;7.85391e+10;4
6e-05;1140;3.136;7.19942e+10;4
6.5e-05;1140;3.136;6.64561e+10;4
7e-05;1140;3.136;6.17093e+10;4
7.5e-05;1140;3.136;5.75953e+10;4
8e-05;1140;3.136;5.39956e+10;4
8.5e-05;1140;3.136;5.08194e+10;4
9e-05;1140;3.136;4.79961e+10;4
9.5e-05;1140;3.136;4.547e+10;4
0.0001;1140;3.136;4.31965e+10;4
5e-05;1160;3.136;8.79087e+10;4
5.5e-05;1160;3.136;7.9917e+10;4
6e-05;1160;3.136;7.32572e+10;4
6.5e-05;1160;3.136;6.7622e+10;4
7e-05;1160;3.136;6.27919e+10;4
7.5e-05;1160;3.136;5.86058e+10;4
8e-05;1160;3.136;5.49429e+10;4
8.5e-05;1160;3.136;5.1711e+10;4
9e-05;1160;3.136;4.88381e+10;4
9.5e-05;1160;3.136;4.62677e+10;4
0.0001;1160;3.136;4.39543e+10;4
5e-05;1180;3.136;8.94243e+10;4
5.5e-05;1180;3.136;8.12948e+10;4
6e-05;1180;3.136;7.45203e+10;4
6.5e-05;1180;3.136;6.87879e+10;4
7e-05;1180;3.136;6.38745e+10;4
7.5e-05;1180;3.136;5.96162e+10;4
8e-05;1180;3.136;5.58902e+10;4
8.5e-05;1180;3.136;5.26025e+10;4
9e-05;1180;3.136;4.96802e+10;4
9.5e-05;1180;3.136;4.70654e+10;4
0.0001;1180;3.136;4.47122e+10;4
5e-05;1200;3.136;9.094e+10;4
5.5e-05;1200;3.136;8.26727e+10;4
6e-05;1200;3.136;7.57833e+10;4
